"","PH_1","theta_w_1","sigma_1","PH_2","theta_w_2","sigma_2","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","PH_3","theta_w_3","sigma_3","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","PH_4","theta_w_4","sigma_4","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"x_university_3",-7.27595761418343,-1.81898940354586,0,-36.3797880709171,-20.0088834390044,0,3.63797880709171,1.81898940354586,1.81898940354586,3.63797880709171,0,3.63797880709171,1.81898940354586,-23.6468622460961,-9.09494701772928,0,-1.81898940354586,0,0,-1.81898940354586,1.81898940354586,0,0,-1.81898940354586,0,0,0,0,0,0,0,0,0
"x_metropolitana_3",-56.3886715099216,-18.1898940354586,0,-216.459739021957,-109.139364212751,-5.45696821063757,36.3797880709171,16.3709046319127,14.5519152283669,29.1038304567337,0,1.81898940354586,34.5607986673713,-256.477505899966,-149.15713109076,0,-34.5607986673713,-16.3709046319127,-12.732925824821,-27.2848410531878,0,0,-34.5607986673713,-1.81898940354586,0,0,0,0,0,0,0,0,1.81898940354586
"PH_4",-418.367562815547,-125.510268844664,-3.63797880709171,514.774001203477,101.863406598568,127.32925824821,-352.883944287896,-187.355908565223,-69.1215973347425,-63.664629124105,0,-147.338141687214,-47.2937244921923,-50.931703299284,-16.3709046319127,5.45696821063757,-5.45696821063757,-3.63797880709171,-3.63797880709171,0,0,-1.81898940354586,-1.81898940354586,-27996.0659099743,-8651.11360326409,192.812876775861,225.554686039686,129.148247651756,47.2937244921923,34.5607986673713,0,158.25207810849,38.198777474463
"theta_w_4",-100.044417195022,-32.7418092638254,0,-16.3709046319127,-76.397554948926,43.6557456851006,-85.4925019666553,-45.4747350886464,-10.9139364212751,-14.5519152283669,0,-36.3797880709171,-9.09494701772928,-9.09494701772928,-1.81898940354586,1.81898940354586,-1.81898940354586,-1.81898940354586,-1.81898940354586,0,0,0,0,-8651.11360326409,-3214.15427606553,63.664629124105,61.8456397205591,36.3797880709171,5.45696821063757,7.27595761418343,0,41.8367562815547,9.09494701772928
"sigma_4",12.732925824821,3.63797880709171,0,3.63797880709171,0,0,-1.81898940354586,-1.81898940354586,0,0,0,-1.81898940354586,0,1.81898940354586,1.81898940354586,0,0,0,0,0,0,0,0,192.812876775861,63.664629124105,-10.9139364212751,5.45696821063757,3.63797880709171,0,-1.81898940354586,0,1.81898940354586,0
"asc_4",10.9139364212751,12.732925824821,0,283.762346953154,141.881173476577,-9.09494701772928,25.465851649642,10.9139364212751,1.81898940354586,1.81898940354586,-1.81898940354586,9.09494701772928,0,25.465851649642,12.732925824821,-1.81898940354586,5.45696821063757,1.81898940354586,0,1.81898940354586,0,0,0,225.554686039686,61.8456397205591,5.45696821063757,-45.4747350886464,-25.465851649642,-5.45696821063757,-7.27595761418343,0,-16.3709046319127,-3.63797880709171
"x_female_4",1.81898940354586,7.27595761418343,0,160.071067512035,81.8545231595635,-3.63797880709171,12.732925824821,12.732925824821,1.81898940354586,1.81898940354586,0,5.45696821063757,0,9.09494701772928,5.45696821063757,0,1.81898940354586,1.81898940354586,0,1.81898940354586,0,0,0,129.148247651756,36.3797880709171,3.63797880709171,-25.465851649642,-25.465851649642,-3.63797880709171,-5.45696821063757,0,-10.9139364212751,-1.81898940354586
"x_mayor45_4",-3.63797880709171,1.81898940354586,0,70.9405867382884,34.5607986673713,-3.63797880709171,1.81898940354586,0,1.81898940354586,-1.81898940354586,-1.81898940354586,0,-1.81898940354586,7.27595761418343,3.63797880709171,-1.81898940354586,0,-1.81898940354586,0,-1.81898940354586,0,0,0,47.2937244921923,5.45696821063757,0,-5.45696821063757,-3.63797880709171,-5.45696821063757,-1.81898940354586,0,-3.63797880709171,-1.81898940354586
"x_underage_in_household_4",-1.81898940354586,0,-1.81898940354586,89.130480773747,41.8367562815547,-3.63797880709171,1.81898940354586,0,0,1.81898940354586,-1.81898940354586,1.81898940354586,-1.81898940354586,16.3709046319127,9.09494701772928,-1.81898940354586,1.81898940354586,0,-1.81898940354586,1.81898940354586,0,0,0,34.5607986673713,7.27595761418343,-1.81898940354586,-7.27595761418343,-5.45696821063757,-1.81898940354586,-7.27595761418343,0,-3.63797880709171,-1.81898940354586
"x_only_worker_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
