"","FOLIO","id_hogar","g.alimentos","g.vestimenta","g.cuentas","g.hogar","g.salud","g.transporte","g.comunicaciones","g.recreacion","g.educacion","g.restaurantes","total_expenses","savings","n_personas","macrozona","quintil","n_menores_0_4","n_menores_5_14","n_trabajadores","edad_promedio","n_profesionales","income_person_week","ingreso_hogar","n_personas_cut","n_menores_0_4_cut","n_menores_5_14_cut","n_trabajadores_cut","n_profesionales_cut"
"52","00052-1",52,9.62946787816505,0.150164179704786,140.776905328281,4.77920356229406,16.7676085396382,9.90745300809961,5.34769187252853,52.71944326944,0.255212046954319,40.4297278903138,280.762877575419,114.689556570923,1,"metropolitana",4,0,0,1,29,1,395.452434146341,395.452434146341,1,0,0,1,1
"53","00053-1",53,199.334726842952,49.9941370150097,208.328793268265,137.574145196327,193.281631679752,82.0208411117003,28.0915263365004,72.3723346681203,0,181.392327752127,1152.39046387075,-622.869185051519,2,"metropolitana",5,0,0,1,57.5,0,264.760639409617,529.521278819235,2,0,0,1,0
"54","00054-1",54,16.4385691126381,7.00090334236676,65.5044173441734,3.85049683830172,0,70.2491720078235,22.560017245627,0.630081300813008,3.65853658536585,2.5340724911799,192.426266268289,165.845928853662,1,"metropolitana",4,0,0,1,67,0,358.272195121951,358.272195121951,1,0,0,1,0
"55","00055-1",55,14.8682927871332,0,20.3096500530223,4.86214209968187,3.97667020148462,25.9387549328095,0,0,0,2.19512195121951,72.150632025351,19.8005874868442,2,"metropolitana",3,0,0,0,65,0,213.90243902439,91.9512195121951,2,0,0,0,0
"56","00056-1",56,56.8023018292683,29.0484556644632,46.423954191884,53.0168385168809,27.4950152439024,25.9507575757576,13.6757822123676,17.73975217716,0,4.42613019283019,274.578987604514,-2.23752418987992,1,"regiones",4,0,0,1,51,1,272.341463414634,272.341463414634,1,0,0,1,1
"57","00057-1",57,96.3346317423239,32.0979865515834,133.001081963107,21.5312491435423,88.2341916289611,128.06331052415,7.5619446186644,12.0648751784843,0.335365853658537,12.5940969439446,531.818734148419,-178.301221953297,4,"regiones",4,1,1,2,19,1,88.3793780487805,353.517512195122,4,1,1,2,1
"58","00058-1",58,44.4111547851563,0,165.067301323123,60.4822764624619,17.1985828484111,3.46040658346037,38.7665400506464,2.93495938929116,0,3.82081304782774,336.142034490378,56.8065020949879,2,"metropolitana",4,0,0,0,79.5,1,196.474268292683,392.948536585366,2,0,0,0,1
"59","00059-1",59,118.24438999083,19.0400273535446,16.1,25.4668219144503,47.8186459995441,24.332573512651,20.7317073170732,11.1951219512195,0.40650406504065,7.51219512195122,290.847987226304,-131.773678283215,5,"metropolitana",2,1,0,2,24.6,0,31.8148617886179,159.074308943089,5,1,0,2,0
"60","00060-1",60,16.8780487804878,20.67868504772,89.7560975609756,0,0.238600212089077,16.5707316775438,5.36049316537121,0.731707317073171,136.178861788618,7.85365853658537,294.246884086464,-67.9054206718299,2,"regiones",3,0,0,1,23.5,0,113.170731707317,226.341463414634,2,0,0,1,0
"61","00061-1",61,159.489453288954,83.7984491736605,115.212139088468,123.911797609704,79.1727202978657,80.0245000243262,53.6761604939307,59.5202532992462,60.1056910569106,50.1531167159162,865.064281048982,115.459652536384,5,"metropolitana",5,0,2,2,26.6,2,196.104786717073,980.523933585366,5,0,3,2,3
"62","00062-1",62,24.4942781813241,0.0245865154312755,9.39120296022395,1.32574030054793,0.32010467412584,8.53036117606058,4.42503376028041,7.04626182148164,26.8292682926829,8.44480618256299,90.8316438647216,-26.4413999622826,4,"metropolitana",1,0,0,1,37.25,0,16.0975609756098,64.390243902439,4,0,0,1,0
"63","00063-1",63,84.1542518904524,7.54357972883161,56.8338615685877,25.2164586890523,53.6041890489134,27.4396078346816,34.5935928438511,9.25305046934905,44.7154471544715,75.5959084974299,418.949947725621,38.6329742255989,4,"metropolitana",5,0,0,2,38.5,3,114.395730487805,457.58292195122,4,0,0,2,3
"64","00064-1",64,107.268905060873,6.06539874176185,15.7429292805898,14.2537758462558,19.0045465595059,21.9227448641979,0.965309853202695,21.1795776752171,27.0325203252033,12.1350588101889,245.570767016997,-135.814669456021,7,"regiones",1,1,2,0,18.8571428571429,0,15.6794425087108,109.756097560976,7,1,3,0,0
"65","00065-1",65,18.2585365853659,4.56690221107819,6.86178861788618,0,0.957374059721906,5.75609756097561,4.39024390243902,3.85365853658537,0.304878048780488,0,44.9494795228326,-19.0958209862472,3,"metropolitana",1,0,0,0,37.6666666666667,0,8.61788617886179,25.8536585365854,3,0,0,0,0
"66","00066-1",66,34.350243902439,5.40668080593849,44.1077235673114,1.54294803817603,9.09756097560976,2.15376458112407,11.9720360551432,5.43658536585366,55.989837398374,11.2731707317073,181.330551421677,-89.0134782509452,2,"regiones",1,0,0,0,21,0,46.1585365853659,92.3170731707317,2,0,0,0,0
